,image_id,categorical_label,path
8769,ISIC_0032292,5,images/HAM10000_images_part_2/ISIC_0032292.jpg
4164,ISIC_0030265,5,images/HAM10000_images_part_2/ISIC_0030265.jpg
10620,ISIC_0026014_g_copy,0,images/copy_120_90/ISIC_0026014_g_copy.jpg
866,ISIC_0029427,2,images/HAM10000_images_part_2/ISIC_0029427.jpg
4853,ISIC_0029205,5,images/HAM10000_images_part_1/ISIC_0029205.jpg
12424,ISIC_0029805_g_copy,1,images/copy_120_90/ISIC_0029805_g_copy.jpg
11659,ISIC_0030177_r_copy,1,images/copy_120_90/ISIC_0030177_r_copy.jpg
6306,ISIC_0029507,5,images/HAM10000_images_part_2/ISIC_0029507.jpg
13911,ISIC_0026417_g_copy,3,images/copy_120_90/ISIC_0026417_g_copy.jpg
10579,ISIC_0027343_r_copy,0,images/copy_120_90/ISIC_0027343_r_copy.jpg
1171,ISIC_0033554,3,images/HAM10000_images_part_2/ISIC_0033554.jpg
8592,ISIC_0029138,5,images/HAM10000_images_part_1/ISIC_0029138.jpg
4966,ISIC_0029433,5,images/HAM10000_images_part_2/ISIC_0029433.jpg
1407,ISIC_0032182,4,images/HAM10000_images_part_2/ISIC_0032182.jpg
4954,ISIC_0025462,5,images/HAM10000_images_part_1/ISIC_0025462.jpg
5207,ISIC_0024766,5,images/HAM10000_images_part_1/ISIC_0024766.jpg
13238,ISIC_0032185_bl_copy,1,images/copy_120_90/ISIC_0032185_bl_copy.jpg
3681,ISIC_0025607,5,images/HAM10000_images_part_1/ISIC_0025607.jpg
6300,ISIC_0025737,5,images/HAM10000_images_part_1/ISIC_0025737.jpg
2667,ISIC_0028871,1,images/HAM10000_images_part_1/ISIC_0028871.jpg
553,ISIC_0030365,2,images/HAM10000_images_part_2/ISIC_0030365.jpg
11108,ISIC_0029827_g_copy,0,images/copy_120_90/ISIC_0029827_g_copy.jpg
9453,ISIC_0033139,5,images/HAM10000_images_part_2/ISIC_0033139.jpg
3438,ISIC_0030293,5,images/HAM10000_images_part_2/ISIC_0030293.jpg
5401,ISIC_0032438,5,images/HAM10000_images_part_2/ISIC_0032438.jpg
13694,ISIC_0028926_r_copy,3,images/copy_120_90/ISIC_0028926_r_copy.jpg
1837,ISIC_0033878,4,images/HAM10000_images_part_2/ISIC_0033878.jpg
10522,ISIC_0031659_bl_copy,0,images/copy_120_90/ISIC_0031659_bl_copy.jpg
2863,ISIC_0025630,1,images/HAM10000_images_part_1/ISIC_0025630.jpg
555,ISIC_0026245,2,images/HAM10000_images_part_1/ISIC_0026245.jpg
660,ISIC_0029032,2,images/HAM10000_images_part_1/ISIC_0029032.jpg
3947,ISIC_0028786,5,images/HAM10000_images_part_1/ISIC_0028786.jpg
3227,ISIC_0026098,5,images/HAM10000_images_part_1/ISIC_0026098.jpg
9640,ISIC_0025122,5,images/HAM10000_images_part_1/ISIC_0025122.jpg
2740,ISIC_0025433,1,images/HAM10000_images_part_1/ISIC_0025433.jpg
3168,ISIC_0030669,5,images/HAM10000_images_part_2/ISIC_0030669.jpg
3592,ISIC_0027166,5,images/HAM10000_images_part_1/ISIC_0027166.jpg
